"subject" "combinedlabel" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()"
1 "WALKING_DOWNSTAIRS" 0.272154196428571 -0.0153264487792857 -0.0949711475357143 0.905800576071429 -0.330026645 -0.0941463448928571 0.0628772325714286 0.0243084681678571 -0.0161821921428571 0.00793679635714286 -0.124194573607143 0.0749974305928571 -0.121134045164286 -0.0704164515642857 -0.0169168070785714 -0.0140828025671429 -0.0140828025671429 -0.219716752860714 -0.0916624324642857 -0.405708505357143 -0.113658525846429 -0.0742782819 -0.296473813678571 -0.345588052025 0.00230389108928571 -0.0355046021071429 -0.184777986714286 -0.22808852075 -0.434256061428571 -0.306332560821429 -0.3787996255 -0.2062455765 -0.423577624642857 -0.186405372785714 -0.178911898535714 -0.167386886825 -0.138687357 -0.0690434726071429 -0.06760317325 0.0622787128796429 -0.119701861678571 0.0667480923 -0.248337149392857 0.157159054428571 -0.435965402464286 0.215462239928571
1 "WALKING_UPSTAIRS" 0.265130137749216 -0.0185590134726959 -0.108975792340125 0.730741616570533 -0.0608347193134796 0.086953080507837 0.0783408328178683 0.0159134348518495 -0.00848661885111599 -0.0234054649840439 -0.084901663477116 0.0872530964713166 -0.0950035033872414 -0.0391973611410658 -0.0497921651970846 -0.492214147385266 -0.492214147385266 -0.574021004097179 -0.509087500201881 -0.660039846322884 -0.568605586936991 -0.435590309958119 -0.622737954733542 -0.166073380266552 0.0624853015645768 0.0666089912456426 -0.579173297953636 -0.531855037161571 -0.718218510282132 -0.0261959100727273 -0.200926264501254 -0.0868123766137931 -0.640742579222884 -0.533301013116928 -0.586410823021003 -0.0201517665662696 -0.0858915426090909 -0.0135266508009091 -0.51451018417837 0.149065098523511 -0.532375042459436 0.211756115083887 -0.560164643022571 0.0568356864581818 -0.664403718243574 0.196501616180533
2 "WALKING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 0.660782866688742 -0.147219886910411 0.134865335090728 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.535281800541722 -0.535281800541722 -0.58777744543543 -0.614771054893146 -0.746559539039735 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.106763418901788 0.105734176023146 0.087210586428 -0.561682049622185 -0.50890379901457 -0.715745330403973 0.0868000536209801 -0.139776595362185 -0.0942651868218543 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.00576500648245033 -0.0702155008665563 0.0513627291214901 -0.514569861316887 0.192199738218212 -0.509746432970861 0.193066821118212 -0.699742945221854 0.0471324812379801 -0.751615078360927 0.124612068599768
3 "WALKING_DOWNSTAIRS" 0.273428719636364 -0.017856067384956 -0.106492632429097 0.707814353343108 -0.0260590480328739 0.0480937904190616 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.563140802770059 -0.563140802770059 -0.650182434328446 -0.643150121648094 -0.784056656246334 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.192817340495308 0.0389282523284457 0.00447261449052786 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.0476941200470968 -0.236874240885924 -0.193657539305073 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.102568067670674 -0.167675025582991 -0.0321862688221114 -0.579076453758064 0.0770665587562757 -0.604752108072727 0.11231984174566 -0.716822144279179 -0.0846075231245126 -0.810085498651026 0.0599628733252199
4 "WALKING" 0.274183111498423 -0.0148081545344921 -0.107521430810726 0.706593043123028 0.112591195496986 0.164130896618297 0.0788637845151419 0.00351340949514196 -0.00737375142832808 -0.0289417906907571 -0.0787229907785489 0.0957174866009464 -0.107859315713249 -0.0400427574662461 -0.0578089304000631 -0.56158213510694 -0.56158213510694 -0.656116311856877 -0.656291093847319 -0.819191368044164 -0.628806379100946 -0.52583456615142 -0.755235428895899 -0.184518571319811 0.0847707537883281 -0.0164096855119621 -0.652023078038801 -0.601696223759495 -0.825154871135647 -0.000543991796466877 -0.180584111376656 -0.110565549338486 -0.641881977553943 -0.831527531009464 -0.689308946422713 -0.118518212447287 -0.375332544565931 0.0241889403249211 -0.602098037677603 0.0963636689322397 -0.63501900541041 0.160479882559811 -0.745650754608833 -0.129301517256877 -0.838833209652997 0.159075727514984
5 "WALKING_DOWNSTAIRS" 0.279177960301325 -0.0154833455336192 -0.105661736816887 0.698153719072848 0.112313109736755 0.0921607197449904 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.460866415568709 -0.460866415568709 -0.589313870006622 -0.602770284825828 -0.707383517582782 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.226370689942053 0.0748636861897351 0.0062663175707947 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.10292084499106 -0.27429092242043 -0.163706246351656 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.0381646986649007 -0.0720666007195695 0.0744028987918874 -0.528503022745033 0.0781455594845364 -0.573176177044172 0.131619298935099 -0.677355755703311 0.062219113935298 -0.748829309536424 0.0307564556565894
6 "WALKING_DOWNSTAIRS" 0.272376614181538 -0.0175697042641846 -0.11599454136 0.688702063569231 0.0162055455953846 0.0475199990906462 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.464770006998123 -0.464770006998123 -0.551413652396923 -0.549494852037046 -0.621936158532308 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.191537066813538 0.0590114878605846 0.113046089288708 -0.549394273848923 -0.503558973703692 -0.720867157741538 -0.0956140259974462 -0.305422668448923 -0.1006823905788 -0.537201442069846 -0.621188724858462 -0.507604207506462 0.0289087194733538 -0.0427900206246154 0.101044783556 -0.473974924380431 0.102346682227846 -0.494882316238462 0.0831165453227692 -0.579130051151385 0.104193397607938 -0.651886909221538 0.081817622852
7 "WALKING_DOWNSTAIRS" 0.270211697814935 -0.0187904887668182 -0.112492375388312 0.681289120844156 -0.0420221452496753 0.0342160711928604 0.0831829573168831 0.00760909767418831 -0.00791725696048701 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.511312036747403 -0.511312036747403 -0.622815767680292 -0.581899897967532 -0.713191348337662 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.311790512382468 -0.0300713296399351 0.0146620852844481 -0.637521940243831 -0.641687333850227 -0.642515716574286 -0.11978430017462 -0.239501714015909 -0.220260861049058 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.134491772785779 -0.103884514547565 -0.0863412384825 -0.518323878824675 -0.0106873745212792 -0.553360009658182 0.108695730522532 -0.628877272791136 -0.0352276334005552 -0.668879188156396 0.0631920436939935
8 "SITTING" 0.265556589446927 -0.0203467625075978 -0.105083983984358 0.668092950782123 -0.0520150292813408 0.0331423877814525 0.0917685399526257 -0.000987307582614525 -0.0259521865934078 0.024738364749162 -0.103746700655866 0.0539935059407821 -0.105480277744693 -0.0432248501716201 -0.056931431927933 -0.360642734297765 -0.360642734297765 -0.443233657336201 -0.384089748443911 -0.620014686122905 -0.504445575653073 -0.273860298597765 -0.437275160035196 -0.26712969319162 -0.00293721608044693 0.065425414484581 -0.509945204702793 -0.415829212913966 -0.557209276761452 -0.02383839148 -0.201155371167039 -0.123552518957542 -0.563925454569832 -0.490327494200559 -0.405833691139665 -0.145670785473743 -0.176103534420279 -0.0679783688178212 -0.427111328334078 0.123912840102179 -0.442103958836313 0.27710509822905 -0.549477566316201 -0.0436386705603352 -0.650017653313408 0.224033151154749
8 "WALKING_DOWNSTAIRS" 0.279888894852941 -0.014403708822451 -0.109837952176471 0.61135636372549 0.174812965882353 0.172297590376696 0.0709613313627451 0.00410267452715686 -0.00865086426392157 -0.0335218219517647 -0.0688443220154902 0.0817994345244118 -0.104074113676471 -0.0345947722803922 -0.0606706132745098 -0.657841168134314 -0.657841168134314 -0.693970947105882 -0.637885629840196 -0.767707293078431 -0.717635975238235 -0.552336636519608 -0.750519162588235 -0.126333729927451 0.0776904128068627 0.136969622572549 -0.734992607029412 -0.636433504543137 -0.797096568 0.10033073802451 -0.112740107555882 -0.0107560652519608 -0.667115725517647 -0.726177374313726 -0.73567597586598 -0.0669687689637255 -0.114879037818627 0.000763289724901961 -0.661265500205882 0.186252413454314 -0.682168739176471 0.261743136914706 -0.71616765577451 0.0126013250103049 -0.793654280423529 0.223249497754902
